make,model,year,km driven,Ownership,Transmission,Engine,fuel,loaction,reg year,reg_year_int,car_age,price
Mahindra,XUV300 W6 Sunroof BSVI,2022.0,42000.0,First Owner,Manual,1197.0,Petrol,Nagpur,Feb 2022,2022.0,3.0,825000.0
Maruti,Celerio ZXI AMT,2024.0,12955.0,First Owner,Automatic,998.0,Petrol,Nagpur,Jun 2024,2024.0,1.0,649000.0
Maruti,Baleno 1.2 Zeta,2017.0,85856.0,First Owner,Manual,1197.0,Petrol,Nagpur,Jun 2017,2017.0,8.0,494000.00000000006
BMW,3 Series 320d Highline,2009.0,96659.0,Third Owner,Automatic,1995.0,Diesel,Nagpur,Jul 2009,2009.0,16.0,550000.0
Maruti,Ciaz VXi,2014.0,95000.0,Second Owner,Manual,1373.0,Petrol,Nagpur,Dec 2014,2014.0,11.0,450000.0
Maruti,Alto 800 LXI,2016.0,36515.0,First Owner,Manual,796.0,Petrol,Nagpur,May 2016,2016.0,9.0,295000.0
Hyundai,Aura S,2023.0,9412.0,First Owner,Manual,1197.0,Petrol,Nagpur,May 2023,2023.0,2.0,669000.0
Skoda,Fabia 1.2 MPI Classic,2011.0,81000.0,Second Owner,Manual,1198.0,Petrol,Nagpur,Nov 2011,2011.0,14.0,170000.0
Chevrolet,Spark 1.0 LS LPG,2012.0,60000.0,First Owner,Manual,995.0,LPG,Nagpur,2012,,13.0,125000.0
Maruti,Alto 800 LXI Opt BSVI,2022.0,2565.0,Second Owner,Manual,796.0,Petrol,Surat,Oct 2022,2022.0,3.0,360000.0
MG,Hector Sharp DCT,2019.0,56383.0,First Owner,Automatic,1451.0,Petrol,Surat,Dec 2019,2019.0,6.0,1005000.0000000001
Skoda,Kushaq 1.0 TSI Style 4 Airbags AT,2022.0,25200.0,First Owner,Automatic,999.0,Petrol,Surat,Apr 2023,2023.0,3.0,1242000.0
Mercedes-Benz,E-Class E250 CDI,2014.0,108000.0,First Owner,Automatic,2143.0,Diesel,Surat,2014,,11.0,1200000.0
Maruti,Swift VXI,2018.0,23131.0,First Owner,Manual,1197.0,Petrol,Surat,Nov 2018,2018.0,7.0,480000.0
Nissan,Micra XV CVT,2017.0,25099.0,Second Owner,Automatic,1198.0,Petrol,Surat,Aug 2017,2017.0,8.0,394000.0
Hyundai,Creta SX,2023.0,14836.0,First Owner,Manual,1497.0,Petrol,Surat,Jul 2023,2023.0,2.0,1230000.0
Maruti,Vitara Brezza VDi Option,2018.0,82000.0,Second Owner,Manual,1248.0,Diesel,Surat,Feb 2018,2018.0,7.0,565000.0
Hyundai,Grand i10 Nios Sportz CNG,2020.0,69500.0,First Owner,Manual,1197.0,CNG,Surat,Jan 2021,2021.0,5.0,641000.0
Skoda,Slavia 1.5 TSI Style DSG,2021.0,,2024,Manual,1198.0,5 Seats,Surat,Comprehensive,,4.0,1951000.0000000002
Mahindra,Thar LX 4WD Hard Top AT BSVI,2021.0,48493.0,First Owner,Automatic,1997.0,Petrol,Surat,Oct 2021,2021.0,4.0,919999.9999999999
Honda,WR-V i-VTEC S,2019.0,60000.0,Second Owner,Manual,1199.0,Petrol,Surat,2019,,6.0,711000.0
Jeep,Compass 2.0 Limited,2018.0,97228.0,First Owner,Manual,1956.0,Diesel,Surat,Sept 2018,2018.0,7.0,781000.0
Maruti,Alto 800 LXI,2017.0,57138.0,First Owner,Manual,796.0,Petrol,Surat,Nov 2017,2017.0,8.0,254999.99999999997
Ford,Ecosport 1.5 Petrol Titanium BSIV,2019.0,68895.0,First Owner,Manual,1497.0,Petrol,Surat,Oct 2019,2019.0,6.0,648000.0
Mahindra,Thar LX 4WD Convert Top Diesel AT BSVI,2023.0,40000.0,First Owner,Automatic,2184.0,Diesel,Surat,2023,,2.0,1445000.0
Maruti,Wagon R VXI BS IV,2018.0,31014.0,First Owner,Manual,998.0,Petrol,Surat,Nov 2018,2018.0,7.0,356000.0
Kia,Seltos HTK Plus iMT,2022.0,18182.0,First Owner,Manual,1497.0,Petrol,Surat,Jun 2022,2022.0,3.0,994999.9999999999
Honda,Amaze 2nd Gen VX CVT,2023.0,38760.0,First Owner,Automatic,1199.0,Petrol,Surat,Jun 2023,2023.0,2.0,798000.0
Maruti,Ciaz VXi,2015.0,90000.0,First Owner,Manual,1373.0,Petrol,Surat,2015,,10.0,425000.0
Mahindra,Thar LX 4-Str Hard Top AT RWD BSVI,2022.0,32233.0,First Owner,Automatic,1997.0,Petrol,Coimbatore,Apr 2022,2022.0,3.0,1370000.0
Renault,KWID 1.0 RXT Optional AT 2016-2019,2018.0,21431.0,Second Owner,Automatic,999.0,Petrol,Coimbatore,Dec 2018,2018.0,7.0,353000.0
Hyundai,i20 Sportz IVT BSVI,2022.0,14395.0,First Owner,Automatic,1197.0,Petrol,Coimbatore,Jun 2022,2022.0,3.0,890000.0
Renault,Triber RXZ,2024.0,11486.0,First Owner,Manual,999.0,Petrol,Coimbatore,Apr 2024,2024.0,1.0,844999.9999999999
Hyundai,Tucson Signature AT DT,2023.0,8159.0,First Owner,Automatic,1999.0,Petrol,Coimbatore,Jun 2023,2023.0,2.0,3275000.0
Renault,Kiger RXZ Turbo CVT,2021.0,29819.0,First Owner,Automatic,999.0,Petrol,Coimbatore,Sept 2021,2021.0,4.0,794000.0
Mercedes-Benz,EQS 580 4Matic,2021.0,12000.0,First Owner,2022,1198.0,Electric,Coimbatore,Oct 2022,2022.0,4.0,8500000.0
BMW,X7 xDrive40i M Sport,2023.0,50956.0,First Owner,Automatic,2998.0,Petrol,Coimbatore,Mar 2023,2023.0,2.0,10500000.0
Nissan,Magnite Turbo CVT XV,2023.0,49873.0,First Owner,Automatic,999.0,Petrol,Coimbatore,Jan 2023,2023.0,2.0,757000.0
Maruti,Swift VXI,2017.0,24285.0,Second Owner,Manual,1197.0,Petrol,Coimbatore,May 2017,2017.0,8.0,468000.0
Renault,Kiger RXZ Turbo,2021.0,48342.0,Second Owner,Manual,999.0,Petrol,Coimbatore,Mar 2021,2021.0,4.0,595000.0
BMW,X1 sDrive18d M Sport,2023.0,34000.0,First Owner,Automatic,1995.0,Diesel,Coimbatore,May 2023,2023.0,2.0,4900000.0
Maruti,Wagon R VXI 1.2,2022.0,6808.0,First Owner,Manual,1197.0,Petrol,Coimbatore,May 2022,2022.0,3.0,537000.0
Renault,Triber RXZ,2021.0,12296.0,First Owner,Manual,999.0,Petrol,Coimbatore,Sept 2021,2021.0,4.0,620000.0
Toyota,Hyryder V HYBRID,2023.0,32564.0,First Owner,Automatic,1490.0,Petrol,Coimbatore,Apr 2023,2023.0,2.0,1889999.9999999998
Volkswagen,Tiguan 2.0 TDI Highline,2018.0,100000.0,First Owner,Automatic,1968.0,Diesel,Coimbatore,2018,,7.0,1750000.0
BMW,XM xDrive,2024.0,13734.0,First Owner,Automatic,4395.0,Petrol,Coimbatore,Feb 2024,2024.0,1.0,21000000.0
Land,Rover Range Rover Velar Dynamic HSE Diesel,2023.0,26000.0,First Owner,Automatic,1997.0,Diesel,Coimbatore,Apr 2024,2024.0,2.0,7500000.0
BMW,3 Series Long Wheelbase 320Ld M Sport GL,2023.0,1800.0,First Owner,Automatic,1995.0,Diesel,Coimbatore,Feb 2024,2024.0,2.0,6500000.0
Audi,A4 Technology BSVI,2022.0,40000.0,First Owner,Automatic,1998.0,Petrol,Coimbatore,2022,,3.0,3800000.0
Honda,City i VTEC V,2016.0,93252.0,First Owner,Manual,1497.0,Petrol,Kochi,Jan 2017,2017.0,9.0,557000.0
Honda,Jazz 1.2 SV i VTEC,2018.0,54165.0,First Owner,Manual,1199.0,Petrol,Kochi,Apr 2018,2018.0,7.0,499000.0
Renault,KWID RXT,2017.0,17049.0,Second Owner,Manual,799.0,Petrol,Kochi,Sept 2017,2017.0,8.0,278000.0
Toyota,Fortuner 2.8 2WD AT BSIV,2019.0,40000.0,First Owner,Automatic,2755.0,Diesel,New Delhi,Jul 2019,2019.0,6.0,2825000.0
Maruti,Wagon R VXI 1.2,2022.0,29243.0,First Owner,Manual,1197.0,Petrol,Kochi,Jun 2022,2022.0,3.0,497000.0
Maruti,Ritz VXI,2013.0,42500.0,First Owner,Manual,1197.0,Petrol,Kochi,Mar 2013,2013.0,12.0,260000.0
Maruti,S-Presso VXI,2024.0,8519.0,First Owner,Manual,998.0,Petrol,Kochi,Feb 2024,2024.0,1.0,442000.0
MG,Hector Sharp DCT,2021.0,65000.0,First Owner,Automatic,1451.0,Petrol,New Delhi,Jul 2021,2021.0,4.0,1190000.0
Renault,Triber RXT EASY-R AMT BSVI,2020.0,28315.0,First Owner,Automatic,999.0,Petrol,Kochi,Mar 2021,2021.0,5.0,497000.0
Maruti,Celerio ZXI AMT,2023.0,26746.0,First Owner,Automatic,998.0,Petrol,Kochi,Sept 2023,2023.0,2.0,515000.00000000006
Kia,Seltos HTE Diesel iMT,2023.0,36398.0,First Owner,Automatic,1493.0,Diesel,Kochi,Jul 2023,2023.0,2.0,1190000.0
